"doy","rain","dt","temp","radiation","RH","wind","lat","long","elev","height"
51.47,0,0.01,30.8666666666667,153.575666666667,43.8777777777778,3.15555555555556,14.24,102.69,295,2.5
51.48,0,0.01,30.4,114.438555555556,44.5,2.24444444444444,14.24,102.69,295,2.5
51.49,0,0.01,30.2111111111111,73.8334444444444,45.5666666666667,1.72222222222222,14.24,102.69,295,2.5
51.5,0,0.01,29.7333333333333,47.192,47.4444444444444,0.755555555555556,14.24,102.69,295,2.5
51.51,0,0.01,28.9,26.3498333333333,50.5,0.316666666666667,14.24,102.69,295,2.5
51.52,0,0.01,27.4888888888889,14.638,55.1777777777778,0,14.24,102.69,295,2.5
51.53,0,0.01,25.8111111111111,5.03522222222222,59.8666666666667,0.211111111111111,14.24,102.69,295,2.5
51.54,0,0.01,24.7,2.54744444444444,64.4666666666667,0.322222222222222,14.24,102.69,295,2.5
51.55,0,0.01,23.9111111111111,3.202,68.2555555555556,0.466666666666667,14.24,102.69,295,2.5
51.56,0,0.01,23.3555555555556,2.94011111111111,70.2333333333333,0.466666666666667,14.24,102.69,295,2.5
51.57,0,0.01,22.9333333333333,3.72577777777778,70.7,0.433333333333333,14.24,102.69,295,2.5
51.58,0,0.01,22.6666666666667,2.94011111111111,70.7777777777778,1.03333333333333,14.24,102.69,295,2.5
51.59,0,0.01,22.3333333333333,2.67822222222222,73.4777777777778,0.977777777777778,14.24,102.69,295,2.5
51.6,0,0.01,22.05,4.3805,74.9666666666667,1.13333333333333,14.24,102.69,295,2.5
51.61,0,0.01,21.7666666666667,3.33288888888889,75.1,1.64444444444444,14.24,102.69,295,2.5
51.62,0,0.01,21.6444444444444,3.85666666666667,75.4666666666667,0.9,14.24,102.69,295,2.5
51.63,0,0.01,21.5666666666667,3.46388888888889,75.0444444444445,1.01111111111111,14.24,102.69,295,2.5
51.64,0,0.01,21.5333333333333,2.54733333333333,75.2777777777778,0.833333333333333,14.24,102.69,295,2.5
51.65,0,0.01,21.3333333333333,3.33288888888889,76.7222222222222,0.933333333333333,14.24,102.69,295,2.5
51.66,0,0.01,21.1555555555556,3.071,77.6111111111111,0.866666666666667,14.24,102.69,295,2.5
51.67,0,0.01,21.0888888888889,3.071,77.7666666666667,1.21111111111111,14.24,102.69,295,2.5
51.68,0,0.01,21,3.59483333333333,77.55,1.5,14.24,102.69,295,2.5
51.69,0,0.01,20.8888888888889,3.20188888888889,77.5,1.57777777777778,14.24,102.69,295,2.5
51.7,0,0.01,20.6777777777778,3.07111111111111,78.3777777777778,1.03333333333333,14.24,102.69,295,2.5
51.71,0,0.01,20.6111111111111,3.333,78.7333333333333,0.855555555555556,14.24,102.69,295,2.5
51.72,0,0.01,20.3555555555556,3.59477777777778,79.7111111111111,1.25555555555556,14.24,102.69,295,2.5
51.73,0,0.01,20.3333333333333,3.07111111111111,79.1666666666667,0.888888888888889,14.24,102.69,295,2.5
51.74,0,0.01,20.3666666666667,2.41633333333333,78.8666666666667,1.17777777777778,14.24,102.69,295,2.5
51.75,0,0.01,20.2888888888889,3.071,79.0111111111111,1.54444444444444,14.24,102.69,295,2.5
51.76,0,0.01,20.6333333333333,3.39833333333333,78.05,2.53333333333333,14.24,102.69,295,2.5
51.77,0,0.01,20.4222222222222,2.80911111111111,78.9666666666667,1.96666666666667,14.24,102.69,295,2.5
51.78,0,0.01,20.1333333333333,2.41633333333333,80.4222222222222,1.44444444444444,14.24,102.69,295,2.5
51.79,0,0.01,19.9222222222222,3.202,81.2333333333333,1,14.24,102.69,295,2.5
51.8,0,0.01,19.9222222222222,2.94,80.9222222222222,0.933333333333333,14.24,102.69,295,2.5
51.81,0,0.01,19.8333333333333,2.94022222222222,81.1111111111111,0.822222222222222,14.24,102.69,295,2.5
51.82,0,0.01,19.8666666666667,2.41633333333333,80.7888888888889,1.68888888888889,14.24,102.69,295,2.5
51.83,0,0.01,19.8333333333333,2.67833333333333,80.4888888888889,1.76666666666667,14.24,102.69,295,2.5
51.84,0,0.01,19.5777777777778,3.85677777777778,81.2777777777778,2.74444444444444,14.24,102.69,295,2.5
51.85,0,0.01,19.4833333333333,2.21983333333333,81.7166666666667,2.51666666666667,14.24,102.69,295,2.5
51.86,0,0.01,19.4666666666667,2.80911111111111,81.4666666666667,2.18888888888889,14.24,102.69,295,2.5
51.87,0,0.01,19.7333333333333,3.72577777777778,79.5666666666667,1.83333333333333,14.24,102.69,295,2.5
51.88,0,0.01,19.5666666666667,2.80911111111111,79.8,2.94444444444444,14.24,102.69,295,2.5
51.89,0,0.01,19.3777777777778,2.94011111111111,80.5,1.38888888888889,14.24,102.69,295,2.5
51.9,0,0.01,19.1444444444444,3.07111111111111,81.1111111111111,0.933333333333333,14.24,102.69,295,2.5
